Mon Jan 22 16:27:20 CET 2018 :  Beginning of Experiment f05_5AGCMs_NA_SPG
Mon Jan 22 16:27:20 CET 2018 :  1 11010101 f05_5AGCMs_NA_SPG  - start
Mon Jan 22 16:28:12 CET 2018 :  167 20000101 f05_5AGCMs_NA_SPG  - start
Mon Jan 22 16:36:02 CET 2018 :  167 20000101 f05_5AGCMs_NA_SPG  - start
Mon Jan 22 16:36:31 CET 2018 :  167 18590101 f05_5AGCMs_NA_SPG  - start
Mon Jan 22 17:43:37 CET 2018 :  167 18590101 f05_5AGCMs_NA_SPG  - start
Mon Jan 22 18:32:18 CET 2018 :  167 18600101 f05_5AGCMs_NA_SPG  - done
Mon Jan 22 18:32:27 CET 2018 :  168 18600101 f05_5AGCMs_NA_SPG  - start
Tue Jan 23 10:40:23 CET 2018 :  2 18590101 f05_5AGCMs_NA_SPG  - start
Tue Jan 23 10:48:38 CET 2018 :  2 18590101 f05_5AGCMs_NA_SPG  - start
Tue Jan 23 11:00:46 CET 2018 :  2 18590101 f05_5AGCMs_NA_SPG  - start
Tue Jan 23 14:47:35 CET 2018 :  2 18590101 f05_5AGCMs_NA_SPG  - start
Tue Jan 23 15:01:38 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 15:01:57 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 15:08:07 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 15:10:10 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 15:38:03 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 15:41:22 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 19:13:37 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 20:44:20 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 21:32:23 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 21:39:28 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 21:44:57 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 22:24:09 CET 2018 :  2 18590101 f05_5AGCMs_NASPG_sample  - start
Tue Jan 23 23:12:32 CET 2018 :  2 18600101 f05_5AGCMs_NASPG_sample  - done
Tue Jan 23 23:12:50 CET 2018 :  3 18600101 f05_5AGCMs_NASPG_sample  - start
Wed Jan 24 14:10:53 CET 2018 :  3 18590101 f05_5AGCMs_NASPG_sample  - start
Wed Jan 24 15:00:02 CET 2018 :  3 18600101 f05_5AGCMs_NASPG_sample  - done
Wed Jan 24 16:06:20 CET 2018 :  4 18600101 f05_5AGCMs_NASPG_sample  - start
Wed Jan 24 16:28:42 CET 2018 :  4 18600101 f05_5AGCMs_NASPG_sample  - start
Fri Jan 26 04:32:38 CET 2018 :  4 18600101 f05_5AGCMs_NASPG_sample  - start
Fri Jan 26 11:39:24 CET 2018 :  4 18600101 f05_5AGCMs_NASPG_sample  - start
Sat Jan 27 11:50:08 CET 2018 :  4 18590101 f05_5AGCMs_NASPG_sample  - start
Mon Jan 29 18:37:51 CET 2018 :  4 18590101 f05_5AGCMs_NASPG_sample  - start
Mon Jan 29 19:26:55 CET 2018 :  4 18600101 f05_5AGCMs_NASPG_sample  - done
Tue Jan 30 01:36:16 CET 2018 :  5 18600101 f05_5AGCMs_NASPG_sample  - start
Wed Jan 31 14:31:19 CET 2018 :  5 18600101 f05_5AGCMs_NASPG_sample  - start
Wed Jan 31 15:13:40 CET 2018 :  5 18600101 f05_5AGCMs_NASPG_sample  - start
Wed Jan 31 15:19:49 CET 2018 :  5 18600101 f05_5AGCMs_NASPG_sample  - start
Wed Jan 31 15:22:22 CET 2018 :  5 18600101 f05_5AGCMs_NASPG_sample  - start
